group,exercise
Бицепс,Молоточки сидя
Бицепс,Молоточки стоя
Бицепс,НЕ молоточки сидя
Бицепс,НЕ молоточки стоя
Бицепс,Скотт гантели
Бицепс,Скотт штанга
Бицепс,Тренажер
Бицепс,Штанга стоя
Грудь,Блок на грудь и трицепс
Грудь,Брусья
Грудь,Жим гантелей лежа
Грудь,Жим гантелей лежа на наклонной
Грудь,Жим штанги лежа
Грудь,Жим штанги лежа на наклонной
Грудь,Разведения грудь
Ноги,Выпады
Ноги,Гак
Ноги,Жим платформы
Ноги,Икры сидя Тр
Ноги,Икры стоя Тр
Ноги,Камбаловидная сидя
Ноги,Присяд
Ноги,Присяд 3D Смит
Ноги,Присяд Смит
Ноги,Разгибания Тр
Ноги,Сгибания Тр лежа
Ноги,Сгибания Тр сидя
Плечи,Жим гантелей сидя
Плечи,Жим штанги стоя
Плечи,Разведения гантелей
Плечи,Смит
Плечи,Тренажер у входа
Плечи,Тренажер у Смита
Плечи,Протяжка
Пресс,Поднятия
Пресс,Тренажер
Пресс,Шар
Спина,Вертикальный блок
Спина,Гиперэкстензия
Спина,Гиперэкстензия обратная
Спина,Горизонтальный блок (двумя)
Спина,Горизонтальный блок (одной)
Спина,Задняя дельта Тр
Спина,Мертвая тяга
Спина,Подтягивания с ногами
Спина,Подтягивания с резинкой
Спина,Подтягивания свой вес
Спина,Становая тяга
Спина,Т-гриф
Трицепс,Канаты
Трицепс,Отжимания от скамьи
Трицепс,Французский жим
